Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015"
Revere,55,23.4,50,21.4,76,29.4
Richmond,0,0,0,0,1,13.6
Rochester,3,12.7,0,0,1,3.8
Rockland,9,10.2,14,15.8,26,29.7
Rockport,3,7.7,3,7.9,8,23
Rowe,0,0,0,0,0,0
Rowley,0,0,0,0,3,10.2
Royalston,0,0,0,0,2,31.8
Russell,0,0,1,11.5,1,11.3
Rutland,4,12.2,0,0,3,7.5
Salem,30,14.8,24,11.5,40,19.4
Salisbury,2,5.1,9,21.8,16,38.6
Sandisfield,0,0,0,0,0,0
Sandwich,7,6.9,6,5.8,9,8.7
Saugus,21,16,22,16.4,30,22.5
Savoy,0,0,0,0,0,0
Scituate,2,2.2,5,5.5,17,18.8
Seekonk,3,4.5,2,2.9,3,4.4
Sharon,0,0,4,4.6,10,11.4
Sheffield,0,0,0,0,1,6.1
Shelburne,0,0,1,9.9,3,31.7
Sherborn,0,0,1,4.8,2,9.7
Shirley,5,15.2,4,10.9,6,16.6
Shrewsbury,11,6.9,7,4.2,11,6.2
Shutesbury,0,0,0,0,0,0
Somerset,5,5.5,12,13,11,12.1
Somerville,36,9.3,28,7.4,56,14.8
South Hadley,3,3.5,10,11.7,7,8
Southampton,0,0,1,3.4,2,6.9
Southborough,0,0,3,6.3,1,2
Southbridge,11,12.7,11,12.7,16,19.1
Southwick,3,6.7,5,10.5,5,10.5
Spencer,5,8.5,11,18.3,14,24
Springfield,78,10.2,78,10,127,16.6
Sterling,3,8.2,3,7.7,2,5.1
Stockbridge,0,0,0,0,2,20.5
Stoneham,6,5.4,12,11.1,18,16.8
Stoughton,10,7.4,25,18.6,36,26.7
Stow,1,3.4,1,3.2,1,3
Sturbridge,4,10,3,6.7,4,8.6
Sudbury,1,1.2,3,3.5,1,1.1
Sunderland,0,0,0,0,1,5.4
Sutton,0,0,2,4.5,2,4.5
Swampscott,4,5.6,8,11.3,9,13.1
Swansea,6,7.5,12,14.8,13,16.4
Taunton,35,12.5,28,10,63,22.6
Templeton,2,5.8,6,15.8,6,15
Tewksbury,5,3.5,12,8.3,19,13.1
Tisbury,0,0,5,26,3,15.2
Tolland,0,0,0,0,0,0
Topsfield,0,0,2,6.5,3,9.9
Townsend,1,2.2,5,10.9,8,17.9
Truro,1,9.5,1,9.4,0,0
Tyngsborough,5,9,3,5.3,10,17.7
Tyringham,0,0,0,0,1,N/A
Upton,1,3.5,2,6.1,2,5.3
Uxbridge,4,7,6,9.5,11,16.4
Wakefield,14,11.3,13,10.6,24,19.3
Wales,1,11.4,1,11,0,0
Walpole,3,2.6,8,6.9,10,8.3
Waltham,22,7.4,20,6.7,37,12.2
Ware,3,6.1,5,10,14,28.4
Wareham,8,7.8,12,11.2,35,32.1
Warren,1,4.1,1,4,6,23.4
Warwick,0,0,0,0,0,0
Washington,0,0,0,0,0,0
Watertown,15,9.1,13,8.1,22,13.8
Wayland,1,1.5,2,3.1,4,6.2
Webster,11,13.3,9,10.7,21,25.1
Wellesley,2,1.5,3,2.2,2,1.4
Wellfleet,1,7.2,2,14.3,3,21.8
Wendell,0,0,0,0,0,0
Wenham,1,4.5,1,4.3,3,12.3
West Boylston,2,5.3,2,5.2,5,13
West Bridgewater,0,0,3,8.8,9,26
West Brookfield,0,0,3,15.6,4,21.6
West Newbury,1,4.8,0,0,0,0
West Springfield,13,9.3,19,13.6,22,15.5
West Stockbridge,0,0,1,14.1,1,15.3
West Tisbury,1,8,0,0,1,7.3
Westborough,6,6.6,0,0,4,4.4
Westfield,17,8.5,20,9.9,30,14.6
Westford,4,3.8,0,0,2,1.8
Westhampton,0,0,1,12.7,0,0
Westminster,1,2.9,5,13.6,1,2.7
Weston,0,0,3,5.2,3,5.3
Westport,4,5.6,5,6.6,10,12.9
Westwood,3,4.3,3,4.3,4,5.5
Weymouth,32,11.9,50,18.6,74,27.5
Whately,0,0,0,0,0,0
Whitman,11,15.7,9,12.5,13,17.9
Wilbraham,6,8.8,3,4.3,4,5.6
Williamsburg,1,8.2,1,8.2,1,8.1
Williamstown,0,0,0,0,2,5.2
Wilmington,6,5.6,11,10.2,17,15.2
Winchendon,6,12.4,8,15.8,8,15.5
Winchester,0,0,10,9.4,5,4.7
Windsor,0,0,0,0,0,0
Winthrop,12,13.3,22,25.7,23,26.3
Woburn,22,11.8,18,9.7,30,15.7
Worcester,95,10.9,129,14.3,225,24.9
Worthington,0,0,0,0,1,17.3
Wrentham,3,5.6,6,10.9,4,7.3
Yarmouth,10,8.1,15,12.3,31,26.1
